product_id,name,price,catalog_id,created_at,updated_at
1,Portable Laptop Table,39.99,Office,2024-03-27T08:45:12Z,2024-09-08T13:51:06Z
2,Leather Wallet,49.99,Accessories,2023-10-05T06:53:36Z,2025-05-30T07:37:36Z
3,Knitted Infinity Scarf,29.99,Clothing - Accessories,2024-04-11T01:37:22Z,2024-12-20T22:20:31Z
4,High-Speed Hand Blender,39.99,Kitchen,2023-09-05T15:11:16Z,2025-03-29T05:28:14Z
5,Decorative LED Neon Sign,45.99,Home,2024-05-06T05:38:30Z,2025-01-24T01:14:28Z
6,Acoustic Guitar,199.99,Music,2024-06-27T23:28:12Z,2025-04-29T13:37:19Z
7,Whole Grain Mustard,3.49,Food - Condiments,2024-05-22T18:03:15Z,2025-06-03T21:48:08Z
8,Surimi Crab Sticks,4.19,Food - Seafood,2024-01-22T17:35:02Z,2025-05-03T13:56:37Z
9,Beef Tacos,5.49,Food - Meat,2023-12-10T21:20:04Z,2025-04-02T03:19:58Z
10,Collapsible Colander,14.99,Kitchen,2024-06-11T10:06:41Z,2025-05-19T13:23:13Z
11,Frozen Berry Medley,5.49,Food - Frozen Foods,2024-01-27T12:46:15Z,2025-05-25T14:56:11Z
12,Travel Pillow,22.99,Travel,2024-03-28T16:45:24Z,2025-04-06T00:42:51Z
13,Electric Heat Pad,24.99,Health,2024-03-12T06:53:26Z,2024-10-24T17:54:39Z
14,Fleece Hoodie,39.99,Clothing - Outerwear,2024-04-02T11:21:30Z,2025-01-23T15:58:47Z
15,Casual Sneakers,39.99,Clothing - Footwear,2023-11-14T09:36:55Z,2024-10-18T06:39:26Z
16,Chickpea Snack Mix,3.49,Food - Snacks,2023-10-02T11:05:30Z,2025-08-07T14:18:40Z
17,Coconut Milk Ice Cream,6.99,Food - Frozen Desserts,2023-08-21T05:17:51Z,2025-07-14T15:11:21Z
18,Wireless Earbuds Case,12.99,Accessories,2023-09-10T18:00:18Z,2024-11-22T23:52:27Z
19,Roasted Garlic Butter,3.29,Food - Condiments,2024-02-12T07:38:47Z,2024-12-05T01:06:04Z
20,Smoked Gouda Cheese,5.49,Food - Dairy,2023-10-28T23:22:44Z,2025-08-01T04:11:09Z
21,Classic Watch,99.99,Accessories,2024-05-25T19:49:28Z,2025-03-20T23:00:53Z
22,Honey Sesame Chicken Mix,8.99,Food - Frozen Meals,2024-02-06T02:25:15Z,2025-01-02T02:00:57Z
23,Bamboo Utensil Set,14.99,Kitchen,2023-08-26T22:31:35Z,2024-12-21T04:26:45Z
